store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;2,1,6;U52900011472919;U5290001147291950CHALKYCARB;Habilitado;Catálogo, Búsqueda;;CAZADORA DIPLOMATICO REVERS TARAS-ERRE;CAZADORA DIPLOMATICO REVERS TARAS-ERRE;;;IVA AL 21%;2;1;6;;OI15C;DUVETICA;;;;;;SEASONAL;152;U52900011472919;;;;/media/import/fotosweb/duvetica/152/duvetica_152-005_1.jpg;;;TARAS ERRE REVERSIBLE PINSTRAPE JACKET;100% Polyamide;;/media/import/fotosweb/duvetica/152/duvetica_152-005_1.jpg;/media/import/fotosweb/duvetica/152/duvetica_152-005_2.jpg;;SLOT 137;;IT;;543.80;13/11/15;31/12/50;380.99;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,6;U52900011472919;U5290001147291950CHALKYCARB;Habilitado;Catálogo, Búsqueda;;CAZADORA DIPLOMATICO REVERS TARAS-ERRE;CAZADORA DIPLOMATICO REVERS TARAS-ERRE;;;IVA AL 21%;2;1;6;;OI15C;DUVETICA;;;;;;SEASONAL;152;U52900011472919;;;;/media/import/fotosweb/duvetica/152/duvetica_152-005_0.jpg;;;TARAS ERRE REVERSIBLE PINSTRAPE JACKET;100% Polyamide;;/media/import/fotosweb/duvetica/152/duvetica_152-005_1.jpg;/media/import/fotosweb/duvetica/152/duvetica_152-005_2.jpg;;SLOT 137;;IT;;543.80;13/11/15;31/12/50;380.99;;1;;;1;;;
admin;base;0;simple;Default;;;A310281290555UNICABLACK;;Habilitado;Not Visible Individually;116812;BOLSO LOGO ORO GYM;BOLSO LOGO ORO GYM;;;IVA AL 21%;2;4;1;;OI15C;MOSCHINO;UNICA;BLACK;1168121;;;SEASONAL;152;A310281290555;;F;01/01/99;/media/import/fotosweb/moschino/152/moschino_152-144_0.jpg;;;LOGO GOLDEN GYM BAG;100% Polyamide;Alto: 	43	cm<br/>Ancho: 	33	cm;/media/import/fotosweb/moschino/152/moschino_152-144_1.jpg;/media/import/fotosweb/moschino/152/moschino_152-144_2.jpg;Height: 	43	cm<br/>Width: 	33	cm;;F;OS;4;40.50;13/11/15;31/12/50;28.93;.00;1;09/09/15;09/10/15;1;;;1974989900
admin;base;1;configurable;Default;talla,color;2,4,1;A310281290555;A310281290555UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO LOGO ORO GYM;BOLSO LOGO ORO GYM;;;IVA AL 21%;2;4;1;;OI15C;MOSCHINO;;;;;;SEASONAL;152;A310281290555;;;;/media/import/fotosweb/moschino/152/moschino_152-144_2.jpg;;;LOGO GOLDEN GYM BAG;100% Polyamide;Alto: 	43	cm<br/>Ancho: 	33	cm;/media/import/fotosweb/moschino/152/moschino_152-144_1.jpg;/media/import/fotosweb/moschino/152/moschino_152-144_2.jpg;Height: 	43	cm<br/>Width: 	33	cm;;;OS;;40.50;13/11/15;31/12/50;28.93;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,1;A310281290555;A310281290555UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO LOGO ORO GYM;BOLSO LOGO ORO GYM;;;IVA AL 21%;2;4;1;;OI15C;MOSCHINO;;;;;;SEASONAL;152;A310281290555;;;;/media/import/fotosweb/moschino/152/moschino_152-144_1.jpg;;;LOGO GOLDEN GYM BAG;100% Polyamide;Alto: 	43	cm<br/>Ancho: 	33	cm;/media/import/fotosweb/moschino/152/moschino_152-144_1.jpg;/media/import/fotosweb/moschino/152/moschino_152-144_2.jpg;Height: 	43	cm<br/>Width: 	33	cm;;;OS;;40.50;13/11/15;31/12/50;28.93;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,4,1;A310281290555;A310281290555UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO LOGO ORO GYM;BOLSO LOGO ORO GYM;;;IVA AL 21%;2;4;1;;OI15C;MOSCHINO;;;;;;SEASONAL;152;A310281290555;;;;/media/import/fotosweb/moschino/152/moschino_152-144_0.jpg;;;LOGO GOLDEN GYM BAG;100% Polyamide;Alto: 	43	cm<br/>Ancho: 	33	cm;/media/import/fotosweb/moschino/152/moschino_152-144_1.jpg;/media/import/fotosweb/moschino/152/moschino_152-144_2.jpg;Height: 	43	cm<br/>Width: 	33	cm;;;OS;;40.50;13/11/15;31/12/50;28.93;;1;;;1;;;
admin;base;0;simple;Default;;;BG070LEBLACK*UNICABLACK;;Habilitado;Not Visible Individually;119606;BOLSO BOX TOTE ALBION;BOLSO BOX TOTE ALBION;;;IVA AL 21%;1;4;1;;PV16R;SOPHIE HULME;UNICA;BLACK;1196061;;;SEASONAL;161;BG070LEBLACK*;;F;01/01/99;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_0.jpg;;;ALBION BOX TOTE BAG;100% Calf Leather;<P>Box tote con detalles en tonos dorados, cierre con cremallera, asa desmontable, bolsillo interior y colgante dorado "Go Bananas".</P><P>Este artículo incluye una funda protectora.</P>Alto: 	16	cm<br/>Ancho: 	18	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_2.jpg;<P>Mini box tote featuring gold tone hardware, a zipper along the top, an adjustable, removable shoulder strap, an inside slip pocket and  "Go Bananas" charm.</P><P>This item comes with a dust bag.</P>Height: 	16	cm<br/>Width: 	18	cm<br/>Depth: 	9	cm;SLOT 37200;F;OS;4;484.30;;;;5.00;1;27/10/15;26/11/15;1;;;-2025406188
admin;base;1;configurable;Default;talla,color;1,4,1;BG070LEBLACK*;BG070LEBLACK*UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO BOX TOTE ALBION;BOLSO BOX TOTE ALBION;;;IVA AL 21%;1;4;1;;PV16R;SOPHIE HULME;;;;;;SEASONAL;161;BG070LEBLACK*;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_2.jpg;;;ALBION BOX TOTE BAG;100% Calf Leather;<P>Box tote con detalles en tonos dorados, cierre con cremallera, asa desmontable, bolsillo interior y colgante dorado "Go Bananas".</P><P>Este artículo incluye una funda protectora.</P>Alto: 	16	cm<br/>Ancho: 	18	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_2.jpg;<P>Mini box tote featuring gold tone hardware, a zipper along the top, an adjustable, removable shoulder strap, an inside slip pocket and  "Go Bananas" charm.</P><P>This item comes with a dust bag.</P>Height: 	16	cm<br/>Width: 	18	cm<br/>Depth: 	9	cm;SLOT 37200;;OS;;484.30;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG070LEBLACK*;BG070LEBLACK*UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO BOX TOTE ALBION;BOLSO BOX TOTE ALBION;;;IVA AL 21%;1;4;1;;PV16R;SOPHIE HULME;;;;;;SEASONAL;161;BG070LEBLACK*;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_1.jpg;;;ALBION BOX TOTE BAG;100% Calf Leather;<P>Box tote con detalles en tonos dorados, cierre con cremallera, asa desmontable, bolsillo interior y colgante dorado "Go Bananas".</P><P>Este artículo incluye una funda protectora.</P>Alto: 	16	cm<br/>Ancho: 	18	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_2.jpg;<P>Mini box tote featuring gold tone hardware, a zipper along the top, an adjustable, removable shoulder strap, an inside slip pocket and  "Go Bananas" charm.</P><P>This item comes with a dust bag.</P>Height: 	16	cm<br/>Width: 	18	cm<br/>Depth: 	9	cm;SLOT 37200;;OS;;484.30;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG070LEBLACK*;BG070LEBLACK*UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO BOX TOTE ALBION;BOLSO BOX TOTE ALBION;;;IVA AL 21%;1;4;1;;PV16R;SOPHIE HULME;;;;;;SEASONAL;161;BG070LEBLACK*;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_0.jpg;;;ALBION BOX TOTE BAG;100% Calf Leather;<P>Box tote con detalles en tonos dorados, cierre con cremallera, asa desmontable, bolsillo interior y colgante dorado "Go Bananas".</P><P>Este artículo incluye una funda protectora.</P>Alto: 	16	cm<br/>Ancho: 	18	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-015_2.jpg;<P>Mini box tote featuring gold tone hardware, a zipper along the top, an adjustable, removable shoulder strap, an inside slip pocket and  "Go Bananas" charm.</P><P>This item comes with a dust bag.</P>Height: 	16	cm<br/>Width: 	18	cm<br/>Depth: 	9	cm;SLOT 37200;;OS;;484.30;;;;;1;;;1;;;
