store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;U100260005982R3NEROGOLD;;Habilitado;Not Visible Individually;115992;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;3;NEROGOLD;1159924;;;;152;U100260005982R;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-056_0.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;1.00;1;25/05/15;24/06/15;1;;;-8521062
admin;base;0;simple;Default;;;U100260005982R4NEROGOLD;;Habilitado;Not Visible Individually;115992;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;4;NEROGOLD;1159923;;;;152;U100260005982R;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-056_0.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;1.00;1;25/05/15;24/06/15;1;;;-8521059
admin;base;0;simple;Default;;;U100260005982R5NEROGOLD;;Habilitado;Not Visible Individually;115992;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;5;NEROGOLD;1159922;;;;152;U100260005982R;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-056_0.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;1.00;1;25/05/15;24/06/15;1;;;-8521060
admin;base;0;simple;Default;;;U100260005982R6NEROGOLD;;Habilitado;Not Visible Individually;115992;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;6;NEROGOLD;1159921;;;;152;U100260005982R;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-056_0.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;2.00;1;25/05/15;24/06/15;1;;;-16643425
admin;base;1;configurable;Default;talla,color;2,1,9;U100260005982R;U100260005982R3NEROGOLD,U100260005982R4NEROGOLD,U100260005982R5NEROGOLD,U100260005982R6NEROGOLD;Habilitado;Catálogo, Búsqueda;;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;;;;;;;152;U100260005982R;;;;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;;NUMERIC SIZE;;37.19;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,9;U100260005982R;U100260005982R3NEROGOLD,U100260005982R4NEROGOLD,U100260005982R5NEROGOLD,U100260005982R6NEROGOLD;Habilitado;Catálogo, Búsqueda;;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;;;;;;;152;U100260005982R;;;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;;NUMERIC SIZE;;37.19;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,9;U100260005982R;U100260005982R3NEROGOLD,U100260005982R4NEROGOLD,U100260005982R5NEROGOLD,U100260005982R6NEROGOLD;Habilitado;Catálogo, Búsqueda;;BOXER BORDEAUX GRECA ORO;BOXER BORDEAUX GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;;;;;;;152;U100260005982R;;;;/media/import/fotosweb/versace/152/versace_152-056_0.jpg;;;GRECA GOLD BURGUNDY BOXER;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-056_1.jpg;/media/import/fotosweb/versace/152/versace_152-056_2.jpg;;;;NUMERIC SIZE;;37.19;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;0;simple;Default;;;U100260005981H3BIANCOGOLD;;Habilitado;Not Visible Individually;115994;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;3;BIANCOGOLD;1159944;;;;152;U100260005981H;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-057_0.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;.00;1;25/05/15;24/06/15;1;;;401356855
admin;base;0;simple;Default;;;U100260005981H4BIANCOGOLD;;Habilitado;Not Visible Individually;115994;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;4;BIANCOGOLD;1159943;;;;152;U100260005981H;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-057_0.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;5.00;1;25/05/15;24/06/15;1;;;397093680
admin;base;0;simple;Default;;;U100260005981H5BIANCOGOLD;;Habilitado;Not Visible Individually;115994;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;5;BIANCOGOLD;1159942;;;;152;U100260005981H;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-057_0.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;1.00;1;25/05/15;24/06/15;1;;;399887921
admin;base;0;simple;Default;;;U100260005981H6BIANCOGOLD;;Habilitado;Not Visible Individually;115994;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;6;BIANCOGOLD;1159941;;;;152;U100260005981H;;F;01/01/99;/media/import/fotosweb/versace/152/versace_152-057_0.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;F;NUMERIC SIZE;4;37.19;30/12/99;30/12/99;.00;1.00;1;25/05/15;24/06/15;1;;;399953202
admin;base;1;configurable;Default;talla,color;2,1,9;U100260005981H;U100260005981H3BIANCOGOLD,U100260005981H4BIANCOGOLD,U100260005981H5BIANCOGOLD,U100260005981H6BIANCOGOLD;Habilitado;Catálogo, Búsqueda;;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;;;;;;;152;U100260005981H;;;;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;;NUMERIC SIZE;;37.19;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,9;U100260005981H;U100260005981H3BIANCOGOLD,U100260005981H4BIANCOGOLD,U100260005981H5BIANCOGOLD,U100260005981H6BIANCOGOLD;Habilitado;Catálogo, Búsqueda;;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;;;;;;;152;U100260005981H;;;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;;NUMERIC SIZE;;37.19;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,9;U100260005981H;U100260005981H3BIANCOGOLD,U100260005981H4BIANCOGOLD,U100260005981H5BIANCOGOLD,U100260005981H6BIANCOGOLD;Habilitado;Catálogo, Búsqueda;;BOXER BLANCO GRECA ORO;BOXER BLANCO GRECA ORO;;;IVA AL 21%;2;1;9;;OI15C;VERSACE;;;;;;;152;U100260005981H;;;;/media/import/fotosweb/versace/152/versace_152-057_0.jpg;;;GRECA GOLD WHITE BOXERS;94% Cotton, 6% Spandex/Elastane;;/media/import/fotosweb/versace/152/versace_152-057_1.jpg;/media/import/fotosweb/versace/152/versace_152-057_2.jpg;;;;NUMERIC SIZE;;37.19;30/12/99;30/12/99;.00;;1;;;1;;;
